user_id,arrays_solved,graphs_solved,dp_solved,trees_solved,strings_solved,math_solved,avg_attempts,acceptance_rate,weak_topic
75,43,19,4,2,22,17,2.71,0.48,dp
76,21,0,26,31,6,3,4.84,0.68,math
77,9,13,11,33,41,3,3.46,0.89,math
78,27,26,37,3,20,7,4.32,0.26,trees
79,48,3,36,24,21,0,2.98,0.44,graphs
80,22,0,16,21,17,19,3.8,0.41,graphs
81,12,2,15,26,5,17,4.03,0.72,strings
82,31,14,1,5,18,5,2.62,0.38,math
83,23,15,35,33,2,13,4.99,0.61,strings
84,29,8,19,16,14,5,3.89,0.44,math
85,48,22,11,12,4,23,2.94,0.74,strings
86,18,3,12,18,4,11,1.72,0.21,strings
87,17,3,3,35,18,22,4.78,0.68,graphs
88,2,18,18,30,30,14,2.36,0.92,arrays
89,7,26,4,1,31,2,3.31,0.71,trees
90,36,4,19,5,15,3,3.23,0.51,graphs
91,14,24,33,24,3,14,2.19,0.64,strings
92,36,19,1,6,13,20,1.84,0.7,dp
93,11,2,4,10,0,13,2.8,0.65,graphs
94,5,9,18,29,4,21,1.93,0.4,arrays
95,42,25,12,27,2,17,1.9,0.31,strings
96,4,3,10,19,38,23,4.3,0.89,graphs
97,4,22,19,25,17,16,3.16,0.53,arrays
98,4,23,20,16,1,2,1.92,0.71,arrays
99,1,24,17,2,2,15,3.08,0.53,strings
100,37,5,40,31,5,15,2.39,0.45,graphs
101,4,10,26,31,18,21,4.78,0.81,arrays
102,4,2,20,16,20,3,4.88,0.5,arrays
103,3,27,34,29,26,1,1.75,0.47,arrays
104,28,24,3,13,17,5,1.52,0.42,math
105,7,0,40,3,45,5,2.24,0.21,trees
106,5,26,7,29,7,20,4.33,0.57,arrays
107,32,22,3,26,30,15,1.97,0.61,dp
108,38,4,8,4,17,24,4.16,0.51,graphs
109,0,9,4,31,9,14,3.15,0.46,dp
110,24,14,20,12,3,7,3.29,0.38,strings
111,1,23,30,24,24,21,4.17,0.69,arrays
112,2,4,32,0,6,14,1.4,0.88,trees
113,9,13,9,4,30,5,4.88,0.45,math
114,41,2,21,3,24,10,3.51,0.87,trees
115,2,19,4,15,5,21,4.68,0.95,strings
116,0,3,40,6,28,5,3.78,0.88,arrays
117,50,1,4,22,23,13,1.58,0.6,dp
118,50,5,10,11,5,1,4.48,0.66,math
119,37,4,14,3,40,8,2.84,0.7,trees
120,43,17,3,4,28,11,4.95,0.42,dp
121,16,14,19,12,24,2,1.43,0.49,math
122,18,22,18,1,5,12,2.1,0.62,strings
123,3,29,38,31,18,2,4.2,0.66,math
124,40,1,39,16,43,24,3.88,0.69,graphs
125,6,28,40,2,19,5,2.76,0.63,math
126,5,2,18,20,26,5,1.8,0.79,graphs
127,32,29,17,10,2,15,4.87,0.42,strings
128,4,30,4,9,14,21,3.9,0.93,arrays
129,5,25,5,0,16,17,1.49,0.48,dp
130,16,18,24,23,6,4,1.94,0.22,math
131,39,7,0,29,44,9,3.6,0.29,dp
132,5,15,7,6,15,17,1.54,0.54,arrays
133,44,30,34,26,37,5,3.91,0.86,math
134,1,19,26,17,2,22,2.48,0.53,arrays
135,6,21,0,34,41,11,1.24,0.41,dp
136,5,21,13,4,3,25,2.33,0.94,trees
137,4,1,35,13,37,6,4.25,0.37,graphs
138,0,8,9,8,0,8,4.19,0.28,strings
139,0,3,15,20,1,5,2.06,0.3,graphs
140,7,23,4,30,3,24,2.45,0.65,strings
141,14,30,39,2,0,16,2.21,0.68,strings
142,0,27,25,27,43,3,2.96,0.88,arrays
143,5,19,9,4,8,8,3.5,0.64,arrays
144,24,19,5,18,29,16,3.42,0.27,dp
145,3,20,35,13,27,14,4.55,0.51,arrays
146,26,23,6,1,27,10,3.66,0.48,trees
147,30,2,5,5,5,1,1.39,0.75,math
148,3,18,35,35,5,21,1.49,0.47,strings
149,46,1,18,5,22,3,3.31,0.36,trees
150,14,27,6,1,35,11,1.46,0.41,trees
151,35,24,39,2,1,19,4.72,0.82,trees
152,5,8,19,21,22,0,1.73,0.31,arrays
153,4,4,40,3,5,23,3.12,0.48,trees
154,10,11,1,20,36,19,1.34,0.24,dp
155,3,21,5,17,3,21,2.7,0.66,strings
156,13,24,4,7,22,13,1.44,0.71,dp
157,33,21,19,1,14,12,4.94,0.24,trees
158,13,24,3,16,18,10,1.48,0.57,dp
159,8,0,34,14,32,17,4.33,0.8,graphs
160,47,1,27,4,29,2,4.45,0.63,trees
161,45,20,26,4,7,12,1.08,0.44,trees
162,44,29,23,4,27,3,1.97,0.64,trees
163,5,27,19,21,14,10,4.12,0.26,arrays
164,1,16,12,22,22,23,4.83,0.68,arrays
165,6,0,16,12,11,19,1.61,0.77,graphs
166,49,4,31,29,36,24,3.32,0.71,graphs
167,40,19,20,20,9,2,1.27,0.53,math
168,37,1,2,32,4,9,2.85,0.23,dp
169,4,20,5,32,24,14,3.32,0.92,dp
170,0,29,36,12,20,19,2.9,0.31,arrays
171,6,25,21,3,32,20,1.69,0.39,trees
172,33,16,39,2,23,11,4.67,0.49,trees
173,38,1,40,21,4,2,1.38,0.71,math
174,46,27,2,9,21,2,3.33,0.31,dp
175,41,22,3,8,38,22,4.75,0.43,dp
176,50,10,8,33,5,0,3.68,0.58,math
177,19,5,0,21,31,6,1.91,0.3,dp
178,50,3,4,34,33,1,3.65,0.86,dp
179,38,1,9,10,11,22,4.08,0.81,graphs
180,28,1,26,23,43,2,1.95,0.53,math
181,50,14,14,34,15,1,4.86,0.79,math
182,43,30,4,28,29,24,2.13,0.49,dp
183,10,26,12,4,16,1,3.56,0.86,trees
184,4,27,33,7,18,2,4.05,0.4,arrays
185,27,2,14,28,22,0,2.66,0.5,graphs
186,24,5,23,14,1,10,4.72,0.83,graphs
187,50,4,5,2,18,15,3.78,0.3,dp
188,28,19,0,5,1,8,1.86,0.31,trees
189,33,13,7,18,5,9,1.49,0.38,strings
190,29,2,7,31,1,17,1.07,0.59,strings
191,9,9,27,0,39,5,1.96,0.51,math
192,5,16,23,4,33,4,3.03,0.94,math
193,0,27,30,2,40,12,4.92,0.39,arrays
194,50,2,2,15,42,20,1.41,0.64,dp
195,2,5,34,21,41,5,4.32,0.71,graphs
196,40,5,8,1,45,24,4.77,0.23,trees
197,3,6,2,20,19,16,2.59,0.81,arrays
198,2,24,2,18,22,24,1.19,0.69,dp
199,3,13,25,28,24,10,4.89,0.57,arrays
200,33,8,4,27,5,13,3.41,0.82,dp
201,20,3,3,20,42,9,2.23,0.65,dp
202,44,3,22,28,2,23,4.48,0.46,graphs
203,40,25,5,4,42,20,2.62,0.58,dp
204,10,30,1,9,38,0,4.13,0.23,math
205,49,3,23,23,24,18,1.13,0.32,graphs
206,23,14,1,8,33,11,2.59,0.69,dp
207,2,23,11,31,33,12,4.65,0.29,arrays
208,28,6,39,18,44,0,1.8,0.3,math
209,11,28,28,4,43,10,3.67,0.73,trees
210,18,28,19,10,2,22,4.71,0.68,strings
211,14,3,12,8,4,25,2.98,0.47,strings
212,29,25,5,8,39,2,1.26,0.5,dp
213,30,16,26,26,36,0,1.5,0.44,math
214,29,21,33,1,8,24,3.21,0.64,trees
215,32,29,3,5,33,4,2.22,0.32,trees
216,22,2,33,18,5,8,1.79,0.92,graphs
217,40,4,39,34,5,16,3.56,0.64,graphs
218,10,0,39,21,36,1,4.3,0.22,graphs
219,49,18,16,13,36,5,3.47,0.22,math
220,18,20,19,30,3,25,4.23,0.5,strings
221,1,1,10,28,26,15,2.86,0.46,arrays
222,45,10,2,25,8,24,2.48,0.62,dp
223,29,3,17,28,15,4,1.39,0.42,graphs
224,26,7,10,20,3,23,2.25,0.77,strings
225,29,15,19,31,1,2,4.78,0.58,strings
226,37,5,3,3,18,15,3.39,0.83,graphs
227,18,17,0,3,27,4,4.53,0.75,trees
228,2,12,4,35,12,11,3.21,0.26,dp
229,48,17,17,2,8,3,2.58,0.8,trees
230,23,24,9,12,0,16,2.61,0.23,strings
231,45,2,30,33,29,4,3.43,0.59,graphs
232,20,5,25,19,3,10,3.03,0.58,strings
233,36,9,30,1,23,4,3.7,0.93,math
234,50,28,4,1,38,15,2.06,0.69,dp
235,14,23,3,30,3,16,3.52,0.66,strings
236,43,3,2,7,12,0,2.76,0.51,graphs
237,13,13,32,30,3,2,1.55,0.36,math
238,30,16,24,20,11,2,4.65,0.46,math
239,49,27,16,30,12,2,2.12,0.42,math
240,45,6,5,20,30,11,3.24,0.9,dp
241,18,3,1,34,24,12,4.27,0.92,dp
242,2,9,1,22,28,20,2.03,0.56,dp
243,17,29,35,17,1,3,3.46,0.64,strings
244,5,28,33,14,40,7,1.21,0.51,arrays
245,6,21,8,3,35,5,2.63,0.9,trees
246,41,6,18,5,18,20,1.24,0.78,trees
247,14,17,2,11,3,5,4.74,0.23,strings
248,11,29,18,2,0,9,3.27,0.28,trees
249,29,20,1,33,31,4,4.4,0.55,dp
250,2,5,29,16,45,5,1.06,0.45,arrays
251,43,24,12,11,4,20,4.59,0.82,strings
252,5,12,2,11,8,15,2.29,0.39,dp
253,15,14,17,5,19,18,3.89,0.21,trees
254,44,7,5,7,29,9,1.64,0.71,dp
255,44,3,3,18,23,19,1.88,0.92,dp
256,29,4,38,23,26,22,3.2,0.55,graphs
257,13,24,15,5,33,4,3.11,0.47,math
258,4,26,35,32,12,18,3.15,0.32,arrays
259,7,21,13,1,5,16,2.78,0.24,trees
260,26,14,36,3,0,14,3.69,0.43,strings
261,16,26,0,0,37,2,1.18,0.46,trees
262,3,29,4,30,5,9,2.64,0.78,strings
263,41,30,26,23,24,3,4.48,0.88,math
264,3,30,34,8,41,11,1.47,0.94,arrays
265,8,23,14,0,3,9,2.85,0.74,strings
266,24,26,14,15,5,11,1.62,0.34,strings
267,3,25,26,1,15,6,1.27,0.65,arrays
268,43,22,3,15,0,12,2.76,0.6,strings
269,32,1,14,20,36,19,4.09,0.81,graphs
270,9,21,4,14,26,9,2.1,0.62,dp
271,11,20,27,35,31,5,4.89,0.91,math
272,50,16,20,4,26,4,2.2,0.34,trees
273,15,27,14,4,45,4,4.22,0.89,trees
274,26,17,33,0,24,7,2.02,0.45,trees
275,23,2,34,0,3,8,2.51,0.65,trees
276,2,25,37,35,13,15,1.84,0.88,arrays
277,3,29,12,7,30,7,3.78,0.73,arrays
278,35,2,18,24,29,17,3.59,0.43,graphs
279,31,14,6,30,4,6,2.48,0.51,strings
280,47,1,1,16,35,18,3.32,0.51,graphs
281,21,2,24,15,31,17,3.62,0.71,graphs
282,46,20,31,5,10,23,4.18,0.33,trees
283,31,5,34,3,5,1,4.36,0.26,strings
284,1,0,26,8,40,7,1.27,0.31,arrays
285,29,11,3,30,3,15,1.06,0.6,strings
286,3,16,17,34,18,0,3.01,0.72,arrays
287,6,2,6,33,9,7,1.77,0.59,graphs
288,50,12,1,23,25,14,3.26,0.94,dp
289,43,26,0,2,5,12,2.52,0.61,dp
290,0,22,10,5,31,0,3.58,0.45,math
291,2,7,13,30,2,1,4.7,0.71,strings
292,36,21,2,11,5,0,4.85,0.64,strings
293,4,9,10,3,36,12,3.71,0.61,trees
294,8,25,5,32,22,0,1.39,0.37,math
295,38,24,3,25,20,0,3.54,0.79,dp
296,14,11,35,0,27,5,3.72,0.7,trees
297,18,25,15,4,5,8,1.62,0.73,strings
298,47,2,20,23,6,2,1.02,0.43,graphs
299,6,4,0,11,27,14,3.23,0.58,dp
300,0,11,35,5,38,19,4.14,0.85,arrays
301,26,12,1,35,15,18,3.08,0.71,dp
302,17,2,17,31,9,2,1.67,0.41,graphs
303,50,2,23,1,15,23,3.5,0.65,trees
304,6,4,19,2,25,10,4.37,0.48,trees
305,21,13,38,3,19,10,3.41,0.72,trees
306,11,30,4,20,18,23,3.78,0.57,dp
307,20,4,17,25,23,3,4.73,0.35,graphs
308,43,5,35,1,29,22,1.84,0.8,graphs
309,1,25,26,31,8,20,2.21,0.39,arrays
310,27,25,24,4,28,4,2.92,0.5,math
311,26,17,2,23,44,0,3.15,0.68,math
312,5,7,22,10,41,19,1.18,0.94,arrays
313,25,30,21,27,6,5,1.39,0.37,math
314,35,18,36,14,4,11,2.56,0.78,strings
315,32,4,22,1,30,0,2.18,0.89,math
316,2,4,22,19,21,14,4.14,0.59,arrays
317,6,14,28,0,4,9,1.18,0.73,trees
318,41,3,3,15,33,5,3.21,0.45,dp
319,14,25,25,5,11,20,3.63,0.5,trees
320,12,14,37,27,5,0,3.82,0.35,strings
321,5,3,34,11,23,10,1.79,0.29,arrays
322,33,30,40,2,38,12,3.45,0.64,trees
323,29,19,0,19,39,18,1.34,0.3,dp
324,19,1,11,23,44,4,3.04,0.51,graphs
325,24,13,11,31,1,17,3.77,0.68,strings
326,10,15,18,8,2,10,4.37,0.66,strings
327,3,4,12,24,35,16,3.61,0.51,arrays
328,45,26,28,1,10,2,3.26,0.8,trees
329,2,8,3,34,18,5,4.12,0.62,dp
330,32,3,36,7,4,24,3.17,0.94,strings
331,1,23,28,34,13,13,1.41,0.82,arrays
332,2,14,1,22,5,14,4.46,0.29,dp
333,47,1,22,27,10,19,1.56,0.35,graphs
334,2,11,34,17,38,17,1.67,0.93,arrays
335,36,8,2,6,8,24,4.14,0.89,dp
336,8,22,8,15,9,5,2.29,0.39,math
337,31,4,36,0,40,13,2.5,0.26,trees
338,32,23,17,5,29,15,2.31,0.2,trees
339,3,14,40,22,4,25,3.14,0.36,arrays
340,31,3,20,18,21,17,3.31,0.62,graphs
341,43,24,0,2,6,20,4.14,0.54,dp
342,28,2,0,27,12,22,4.64,0.86,graphs
343,17,0,23,16,5,11,3.66,0.69,graphs
344,40,9,14,3,41,2,3.81,0.2,trees
345,0,18,14,33,43,14,1.04,0.72,arrays
346,44,4,30,0,14,12,1.36,0.8,trees
347,23,28,5,8,24,24,4.25,0.86,dp
348,9,2,33,0,39,1,1.66,0.46,math
349,47,4,26,28,13,0,4.59,0.31,math
350,46,12,22,27,0,25,1.56,0.41,strings
351,35,2,38,18,44,0,4.39,0.69,graphs
352,33,1,32,12,25,9,3.58,0.79,graphs
353,24,3,15,0,40,19,1.28,0.87,trees
354,20,4,0,26,23,17,3.73,0.77,dp
355,3,2,0,16,13,1,4.69,0.91,arrays
356,18,20,32,26,4,22,2.61,0.68,strings
357,9,8,5,19,1,16,4.68,0.93,strings
358,20,12,37,4,1,22,2.75,0.92,strings
359,5,2,27,7,29,19,3.44,0.43,arrays
360,47,5,7,0,45,2,3.81,0.32,math
361,33,25,16,10,5,4,4.0,0.86,strings
362,4,28,1,21,27,8,3.1,0.4,arrays
363,4,15,29,32,23,2,3.0,0.63,math
364,16,0,6,7,14,23,3.04,0.23,graphs
365,2,4,23,24,9,5,4.72,0.84,graphs
366,47,20,26,14,20,2,2.67,0.74,math
367,0,11,7,32,43,1,1.72,0.8,arrays
368,4,28,29,2,19,10,1.35,0.54,trees
369,18,1,19,15,29,11,3.37,0.57,graphs
370,34,24,15,9,0,5,1.1,0.61,math
371,0,30,21,0,42,0,4.4,0.75,math
372,33,1,26,31,3,4,3.85,0.27,graphs
373,26,22,23,29,3,18,1.38,0.3,strings
374,2,18,3,27,42,4,1.95,0.4,arrays
375,44,26,20,1,28,8,1.93,0.91,trees
376,6,4,6,10,2,14,2.26,0.29,strings
377,28,5,29,16,7,2,1.63,0.71,graphs
378,38,1,13,20,9,3,3.84,0.93,math
379,3,21,19,16,4,0,4.81,0.84,strings
380,35,7,6,29,6,0,4.18,0.29,math
381,8,4,25,23,43,20,4.75,0.26,graphs
382,4,0,2,12,41,14,4.24,0.27,dp
383,3,30,29,3,10,18,2.73,0.74,arrays
384,3,21,27,11,22,6,4.63,0.41,arrays
385,2,3,39,15,41,9,3.0,0.86,graphs
386,1,8,24,8,26,6,3.57,0.8,arrays
387,34,25,1,24,45,2,2.92,0.79,math
388,32,10,24,17,2,0,2.28,0.36,strings
389,4,16,22,14,10,3,1.99,0.38,arrays
390,3,24,14,24,22,5,1.7,0.64,math
391,22,29,37,1,45,1,2.41,0.63,math
392,12,26,31,34,1,5,2.96,0.27,strings
393,14,0,33,30,1,10,4.67,0.35,strings
394,45,5,0,3,1,4,3.35,0.89,dp
395,23,30,4,23,2,21,2.58,0.28,strings
396,8,5,5,31,41,10,1.7,0.93,dp
397,50,11,14,11,1,9,3.94,0.42,strings
398,0,30,36,25,36,4,1.73,0.44,math
399,40,2,6,31,9,10,3.98,0.38,graphs
400,40,0,5,21,28,0,2.06,0.39,graphs
401,16,25,1,0,3,12,2.75,0.51,dp
402,31,28,24,4,34,12,1.41,0.56,trees
403,48,21,14,10,28,0,4.2,0.23,math
404,16,30,0,4,21,5,4.55,0.32,dp
405,5,10,38,30,4,0,2.73,0.69,strings
406,10,1,6,5,13,6,2.64,0.62,trees
407,16,21,18,19,3,3,1.2,0.63,strings
408,3,3,0,27,5,9,4.3,0.67,graphs
409,6,0,13,10,40,9,4.91,0.56,graphs
410,50,12,1,31,42,8,1.36,0.61,dp
411,24,11,2,28,2,8,2.76,0.4,dp
412,3,4,6,5,4,11,4.23,0.51,strings
413,35,4,24,33,26,17,3.75,0.9,graphs
414,30,4,5,25,45,1,3.01,0.88,graphs
415,39,4,7,28,11,1,4.89,0.81,math
416,5,2,27,12,40,4,4.34,0.39,arrays
417,0,12,35,25,35,10,4.43,0.59,arrays
418,39,18,33,26,7,4,1.6,0.62,math
419,5,18,6,18,34,11,4.51,0.4,arrays
420,36,19,30,5,11,8,2.61,0.66,trees
421,25,1,25,21,44,2,1.2,0.56,math
422,1,10,1,19,17,15,4.43,0.71,dp
423,19,1,28,20,17,23,2.67,0.68,graphs
424,13,29,26,1,33,11,4.28,0.59,trees
425,0,22,32,25,8,24,4.41,0.86,arrays
426,12,5,12,3,15,1,2.83,0.89,graphs
427,17,1,29,32,25,20,4.69,0.71,graphs
428,31,19,2,11,30,18,3.21,0.46,dp
429,44,2,18,1,24,1,1.65,0.63,math
430,41,5,13,17,41,13,3.05,0.85,graphs
431,2,29,8,11,38,25,1.03,0.39,arrays
432,45,20,17,27,24,2,2.84,0.36,math
433,33,26,39,25,37,2,1.03,0.95,math
434,41,19,38,18,2,21,1.43,0.25,strings
435,20,27,17,16,41,1,4.81,0.69,math
436,33,5,15,3,38,12,3.64,0.71,graphs
437,5,15,18,16,26,12,2.55,0.23,arrays
438,12,10,14,34,2,25,2.9,0.91,strings
439,19,27,10,35,2,9,1.39,0.3,strings
440,35,24,11,21,41,2,1.89,0.37,math
441,50,28,21,3,16,18,2.18,0.84,trees
442,3,18,37,4,30,6,3.0,0.85,arrays
443,19,13,3,9,3,6,2.37,0.94,strings
444,20,5,11,5,31,10,3.52,0.33,graphs
445,0,14,17,13,10,18,4.06,0.57,arrays
446,39,0,40,27,25,13,4.86,0.49,graphs
447,12,23,23,0,5,24,4.33,0.34,strings
448,4,23,15,14,44,11,2.25,0.28,arrays
449,19,5,4,2,4,9,2.82,0.59,strings
450,27,28,3,21,31,11,4.0,0.32,dp
451,5,7,8,13,1,18,3.02,0.29,arrays
452,50,1,24,16,34,5,1.19,0.95,math
453,4,26,1,3,44,3,2.67,0.49,arrays
454,30,22,5,13,44,21,3.52,0.43,dp
455,2,16,17,8,26,3,3.05,0.66,arrays
456,1,3,31,12,38,6,4.11,0.82,arrays
457,45,13,3,10,2,17,2.99,0.36,dp
458,15,0,0,5,7,18,3.68,0.31,dp
459,4,23,6,16,2,7,2.83,0.93,strings
460,3,3,11,5,18,11,4.21,0.43,trees
461,3,27,2,0,8,21,3.59,0.45,arrays
462,17,28,5,23,3,5,1.46,0.5,strings
463,24,22,5,26,41,25,1.67,0.3,dp
464,2,3,26,30,36,21,2.75,0.66,arrays
465,1,27,8,30,0,3,4.55,0.53,strings
466,41,10,5,33,36,23,3.26,0.93,dp
467,33,16,5,6,27,21,3.91,0.56,dp
468,41,12,9,35,39,4,1.05,0.9,math
469,31,27,10,0,31,10,1.96,0.93,trees
470,14,17,24,25,3,2,2.84,0.8,strings
471,3,14,20,7,31,23,3.61,0.28,arrays
472,4,17,0,5,38,19,3.55,0.87,arrays
473,41,2,29,21,23,1,4.27,0.83,graphs
474,49,19,38,30,0,21,2.45,0.54,strings
475,14,0,21,22,40,5,2.17,0.59,math
476,2,28,10,31,8,22,3.97,0.51,arrays
477,12,6,7,25,2,14,4.3,0.34,strings
478,1,13,2,7,28,14,3.63,0.92,arrays
479,0,16,3,1,27,18,2.93,0.58,trees
480,37,5,8,6,24,4,3.4,0.86,math
481,26,19,15,1,25,10,4.88,0.54,trees
482,26,4,32,19,44,17,4.44,0.73,graphs
483,13,6,13,18,43,5,4.68,0.3,math
484,11,16,34,20,45,4,4.04,0.62,math
485,42,22,26,34,0,13,4.23,0.59,strings
486,9,1,3,5,17,24,4.14,0.94,trees
487,9,26,3,18,13,24,3.16,0.47,dp
488,5,27,35,14,41,17,2.56,0.58,arrays
489,44,21,2,24,24,13,4.83,0.93,dp
490,3,0,16,12,1,24,4.44,0.53,strings
491,45,22,23,34,38,2,4.1,0.92,math
492,11,21,4,3,11,23,3.06,0.48,trees
493,35,8,1,10,37,8,1.02,0.55,dp
494,4,29,20,3,40,19,4.37,0.43,arrays
495,22,2,20,33,1,5,3.08,0.79,strings
496,34,17,25,2,22,7,4.53,0.7,trees
497,18,6,0,33,30,17,4.29,0.94,dp
498,0,11,28,15,41,19,4.67,0.38,arrays
499,20,12,7,24,16,4,3.9,0.22,math
500,32,25,2,28,31,1,2.19,0.69,dp
501,5,30,6,10,5,17,1.03,0.25,strings
502,49,6,27,6,13,5,4.31,0.86,math
503,41,26,4,0,1,14,3.87,0.23,trees
504,3,25,16,35,4,18,4.29,0.88,arrays
505,28,20,25,0,20,0,2.56,0.29,trees
506,46,19,4,2,44,2,2.43,0.58,math
507,19,19,5,18,28,3,2.58,0.7,math
508,34,5,8,25,34,9,4.84,0.31,graphs
509,41,11,0,35,35,4,1.49,0.2,math
510,34,17,5,1,13,23,3.97,0.74,trees
511,41,27,32,1,10,5,1.88,0.83,trees
512,5,21,36,3,35,14,3.58,0.25,arrays
513,0,3,12,31,21,11,1.51,0.69,arrays
514,39,2,5,20,31,14,2.31,0.69,dp
515,9,18,36,23,1,13,1.67,0.43,strings
516,47,20,27,17,23,3,3.72,0.45,math
517,28,11,19,2,35,3,1.7,0.65,trees
518,34,4,16,4,4,0,4.4,0.67,graphs
519,25,24,37,13,4,17,2.04,0.87,strings
520,41,24,9,2,25,7,4.57,0.64,trees
521,29,4,32,5,25,11,3.01,0.7,graphs
522,10,24,32,8,28,5,1.72,0.91,math
523,47,2,30,22,2,7,4.05,0.37,graphs
524,14,1,0,33,23,12,2.88,0.54,dp
525,4,10,6,33,40,8,4.34,0.4,arrays
526,11,12,24,23,2,20,4.59,0.26,strings
527,14,16,25,0,22,15,4.17,0.87,trees
528,8,14,10,14,1,16,3.57,0.36,strings
529,23,5,7,14,26,25,2.32,0.29,graphs
530,30,6,37,4,41,13,1.09,0.23,trees
531,10,4,40,32,1,18,1.59,0.32,strings
532,25,19,36,1,4,9,4.79,0.36,strings
533,30,5,14,1,38,4,4.18,0.82,trees
534,42,16,16,10,0,10,4.69,0.65,strings
535,24,5,8,6,1,6,3.09,0.88,graphs
536,9,19,6,4,30,19,3.4,0.86,trees
537,48,3,5,30,0,4,4.61,0.6,strings
538,41,13,33,26,23,3,3.79,0.52,math
539,22,18,36,0,27,4,2.02,0.77,trees
540,38,28,0,26,16,6,1.02,0.76,dp
541,33,3,33,0,3,20,1.82,0.8,strings
542,6,4,2,16,16,17,2.69,0.47,dp
543,25,24,13,26,35,4,3.23,0.33,math
544,30,8,19,22,5,12,3.94,0.84,strings
545,4,7,28,10,6,6,3.03,0.79,arrays
546,44,21,3,10,1,20,1.02,0.27,strings
547,38,13,5,5,16,7,2.48,0.66,trees
548,25,19,33,1,45,19,1.23,0.78,trees
549,31,14,0,12,42,4,3.07,0.35,math
550,33,22,14,10,1,1,2.44,0.69,strings
551,0,24,25,22,42,12,2.62,0.35,arrays
